voice,ticker,action,conviction,confidence,horizon,thesis
contrarian,PEP,BUY,6,Medium,Medium,"Pulled in: 10% of 52w range, PEG 1.33, 4.56% dividend, beta 0.361, screen PASS. The de-rating is GLP-1 narrative while fetched revenue is still +6.4% ttm with a 10.8% margin. Risk named: D/E 238.95, a leveraged staple."
contrarian,MKC,BUY,5,Low,Medium,"Pulled in: 18% of range, revenue +16.7%, 3.94% dividend, 5.45% FCF yield, PASS. Trailing 8.11x is distorted (background knowledge: MKC historically 20-25x), so using forward 14.78x / PEG 1.89. Net debt/EBITDA 3.17 on 2.5% 3y CAGR."
contrarian,FIS,BUY,5,Low,Medium,"3% of range, PEG 0.19, forward 5.32x, FCF yield 14.44%, screens PASS despite the pessimism. Naming my own limit: I cannot say why the pessimism is wrong, only that the price implies terminal decline and the cash flow does not."
macro,V,BUY,7,Medium,Medium,"US CPI still 3.71% and Visa's revenue is a percentage of nominal transaction value — inflation is revenue here, not a cost. USD earnings sit on the right side of a 118.21 dollar rather than against it."
macro,MO,BUY,6,Medium,Medium,"US-domestic, USD-earning, demand inelastic to both cycle and rate path. With real US policy rates at roughly -0.08%, a 6.39% dividend on a 7.77% FCF yield is a positive real return from an asset with almost no macro beta."
macro,TSM,BUY,6,Low,Medium,"On the right side of the dominant capex cycle and structurally long the strong dollar (USD revenue, TWD cost base) — rare in this set at 118.21. Largest unmeasured exposure in the memo: no field prices Taiwan risk."
copycat,AZN.ST,BUY,8,High,Medium,"CEO Pascal Soriot bought 60,000 shares at 121.02 GBP on 14/09/2026 and Chairman Michel Demare 2,500 at 121.21 the same day — both real market prices. CFO Sarin's 11,133 and 73 shares at price 0.00 are award vestings and carry no signal."
copycat,INVE-A.ST,BUY,7,Medium,Medium,"Three separate insiders in three weeks: CEO Cederholm 1,500 A at 395.90 (14/09), Jacob Lund 1,000 A at 399.13 (09/09), Ulrika Elfving 850 B at 411.55 (01/09). Five distinct buyers through 2026 at rising prices, zero disposals on record."
copycat,SHB-A.ST,BUY,6,Low,Medium,"Chairman Par Boman, 26/08/2026, over 1.8m A-shares across ten tranches at 145.55-146.24 SEK, 6.5% below today's price. Quality caveat: every tranche marked 'Closely associated: Yes', i.e. a related entity, not a personal account."
chairman,ABB.ST,SELL,7,Medium,Medium,"Fifth consecutive sweep. Stands on valuation and thesis alone: forward P/E 36.53 above trailing 35.97, FCF/revenue ~4.4%, thesis BROKEN. Defensive and Copycat both decline to support it — not a consensus sell. Proceeds fund VICI."
chairman,AZN.ST,BUY,7,Medium,Medium,"1 share. CEO and Chairman bought on the open market seven days ago; PEG 1.20; beta 0.205 is the portfolio's ballast. Unfunded today — ISK cash 845.43 SEK vs 1,626.50 price; flag for the P3 conversion. Against: ROIC 13.1%, FCF yield 0.19%."
chairman,VICI,BUY,6,Low,Medium,"~16 shares, conditional on the ABB sale — no other capital exists. 7.93x forward, 7.76% yield, and it takes Industrials from 54.05% (ACT) to 42.6% while adding the first Real Estate and first direct US exposure. Macro downgrades it on the 4.94% 10y."
chairman,TSM,HOLD-WATCH,6,Medium,Medium,"Best unowned name on merit — four voices at 6-8, ROE 40%, net cash, 19.8x forward on 36% growth, diversifies sector and country. WATCH on capital, not doubt: zero free SEK. Conviction capped by roic/fcf_yield being unreliable and unflagged (S24)."
chairman,INVE-A.ST,HOLD-WATCH,5,Low,Medium,"Sixth sweep deadlocked. Three insiders bought within three weeks at or above today's 401.00, but no NAV discount/premium exists (S6) so no valuation verdict is possible. No add without the number, no sale against that buying. See D-b."
