voice,ticker,action,conviction,confidence,horizon,thesis
growth,NVDA,BUY,9,Medium,Medium,"105.9% ttm revenue growth on a 100% three-year CAGR with the forward multiple compressing 27.47 to 14.21 and PEG 0.63. Largest forward compression of any name at this scale that also passes the screen."
growth,APP,BUY,7,Low,Medium,"52.8% ttm revenue growth on a 24.8% three-year CAGR - accelerating not decaying - with forward P/E 14.86 below trailing 24.44 meaning consensus estimates are still rising while the price is at the floor."
growth,META,BUY,6,Medium,Medium,"28.0% revenue growth with forward P/E 16.53 below trailing 21.79 and PEG 0.85 at 19% of its 52-week range. Pulled back in from outside the focus set; case unchanged and intact since 2026-08-24."
growth,SHB-A.ST,SELL,6,Medium,Medium,"Revenue -3.8% YoY and forward P/E 12.99 ABOVE trailing 12.46 - consensus expects earnings to fall - with the price at 92% of its 52-week range. PEG 20.28 is suspect-flagged and withheld from scoring."
defensive,AZN.ST,BUY,8,High,Long,"Beta 0.211 is the lowest value in the entire 71-name set with ND/EBITDA 1.38 and a 23.5% op margin. The only genuine downside ballast in a book that has none and sits at 37% of range while everything else is at 73-93%."
defensive,VICI,BUY,7,Medium,Medium,"Beta 0.687 on contracted triple-net rent with 70.2% op margins and a 6.98% gross yield. ND/EBITDA 4.82 is the real risk and it is the exact mechanism that would make the downside non-linear if rates stay put."
defensive,NOVO-B.CO,BUY,6,Low,Medium,"Beta 0.349 ROE 59.8 ROIC 35.6 P/E 11.27 at 38% of its 52-week range and passing the screen. Blocked from sizing for a third sweep because no SEK/DKK rate is fetched anywhere in this system."
defensive,VOLV-B.ST,SELL,6,Medium,Medium,"D/E 147.3 and ND/EBITDA 3.8 are the highest leverage of any operating company in the set on the thinnest net margin held (7.6%) into a +1.55% real SEK policy rate. Leverage does the damage before the multiple does."
defensive,ABB.ST,SELL,5,Medium,Medium,"Beta 1.011 and 14.1% net margin adding to an industrials cluster portfolio rates ACT at 64.6% of the stock sleeve. Adds market exposure and no protection."
contrarian,APP,BUY,7,Low,Medium,"Price at 3% of its 52-week range while every operating number is elite and the forward multiple is falling. Price and consensus estimates disagreeing this violently is the specific setup this lens exists for - but no news or regulatory data is fetched to test the cause."
contrarian,VICI,BUY,7,Medium,Medium,"At the literal bottom (0.0%) of its 52-week range on a rate-driven de-rating while 5.7% ttm revenue growth 15.5% 3y CAGR and 67.5% net margin show no deterioration. The pessimism is about the discount rate not the tenant."
contrarian,ZTS,BUY,6,Low,Medium,"Screen-failed on D/E 293.99 but ND/EBITDA is 1.86 - the D/E is a book-equity artifact so the machine's penalty is not deserved. At 5% of range with P/E 12.62 falling to 11.84 forward ROE 64.9 op margin 40.7 beta 0.73."
contrarian,ATCO-B.ST,SELL,5,Medium,Medium,"At 93% of its 52-week range on PEG 2.38 with no differentiated thesis - the opposite of a contrarian holding. Got more expensive this week on no news."
macro,AZN.ST,BUY,7,Medium,Long,"The only held name on the right side of this regime: a USD/EUR-revenue pharma held in SEK gets a translation tailwind from the dollar index at 118.06 that is hurting everything else in the book."
macro,EG,BUY,6,Low,Medium,"Bermuda-domiciled reinsurance earning in USD with beta 0.279. A positive real-rate environment is directly accretive to an insurer's float income - a regime-specific argument rather than a generic value one."
macro,MO,BUY,5,Low,Medium,"Beta 0.495 with a 6.47% dividend and 61.5% op margin as a US domestic earner - the profile a strong-dollar positive-real-rate regime rewards. Also the concrete case for closing D-c since exclusions are unstated."
macro,ABB.ST,SELL,5,Medium,Medium,"A Nordic-listed industrial into a +1.55% real Swedish policy rate that mechanically favours SEK cash over SEK equities. Richest multiple of the cluster with no offsetting regime tailwind."
copycat,AZN.ST,BUY,7,Medium,Long,"CEO Soriot and CFO Sarin both still accumulating with the latest filing 19/08/2026 and no disposals of substance. Two officers moving independently and repeatedly is the higher-quality pattern per this lens's own rule."
copycat,SHB-A.ST,BUY,7,Low,Medium,"Chairman Par Boman filed 10 acquisitions dated 26/08/2026 totalling ~1850000 shares at ~146 SEK (~270M SEK) - the largest insider transaction in the fetched record. Caveat: FI filings cover closely-associated legal persons and Boman also chairs Industrivarden."
copycat,ALFA.ST,BUY,6,Low,Medium,"10 of 10 open-market insider buys since 2023 with zero disposals and the pattern unbroken this pull. Rated 6 not 8 only because the latest filing is still 24/04/2026 and is now four months stale."
copycat,INVE-A.ST,BUY,5,Low,Medium,"Acquisitions only with zero disposals all year - supportive but it does not touch the NAV-measurability problem that has blocked a real call on this name for three consecutive sweeps (S6)."
copycat,ABB.ST,SELL,5,Medium,Medium,"The only holding with a net insider-selling record: Terwiesch's 13/08/2026 disposal of 20000 shares at CHF 83.46 on top of the earlier cluster. The pattern has gone quiet not reversed and no insider has bought."
chairman,AZN.ST,BUY,8,High,Long,"BUY 3 shares at ~1571.50 = ~4714.50 SEK from the 11288 SEK broker-confirmed ISK cash. Fourth consecutive sweep as top call. Only ballast in the book (beta 0.211) at 37% of range with insiders accumulating. Missing forward P/E docks confidence one notch."
chairman,ABB.ST,SELL,7,Medium,Medium,"SELL all 4 shares ~3753.60 SEK. Forward P/E flat against trailing for four sweeps despite 14.2% growth plus thinnest FCF conversion of the three P6 industrials plus the only net insider selling in the book. Break-condition clause two satisfied. No tax event."
chairman,VICI,BUY,6,Medium,Medium,"BUY ~15 shares at 25.77 USD ~3658 SEK funded entirely by the ABB and SHB-A sales. Starter tranche only. Adds Real Estate US and non-SEK all at 0%. Verify US dividend withholding inside the ISK first - no FFO or EV/EBITDA exists to size up on."
chairman,APP,HOLD-WATCH,5,Low,Medium,"The funnel's number-one name is refused as a buy. Elite fundamentals and a falling forward multiple at 3% of its 52-week range means the market prices a discontinuity this system cannot see - no news regulatory or short-interest data is fetched at all."
chairman,MU,NO_ACTION,3,Low,Medium,"Ranked 4 (SNDK 2) but their headline revenue growth of 346% and 372% is suspect-flagged and withheld by scout itself and PEG is computed off the same figure. No uncontaminated way to test the bull case. Peak-cycle memory margins is qualitative reasoning."
chairman,SHB-A.ST,SELL,6,Medium,Medium,"SELL the single share alongside the ABB order. Revenue -3.8% forward P/E above trailing at 92% of range. Boman's ~270M SEK purchase is the strongest counter but a 147 SEK position cannot express an insider thesis and the filing's nature is unverified."
