ticker,status,sector,price,pe,fwd_pe,peg,margin_pct,roe_pct,roic_pct,de_ratio,net_debt_to_ebitda,rev_growth_pct,fcf_b,div_yield_pct,mcap_b,beta,note
ERIC-B.ST,FAIL,Technology,96.62,13.094851,,1.93,10.8,26.1,16.8,37.682,-0.41,-6.1,30.71,3.1,316.4,0.504,revenue_growth=-0.061 < 0.0
ETH-USD,MISSING,,2463.0938,,,,,,,,,,,,295.6,,"missing: trailing_pe,forward_pe,peg_ratio,revenue_growth,profit_margins,debt_to_equity"
EUNL.DE,MISSING,,126.145,,,,,,,,,,,,,,"missing: trailing_pe,forward_pe,peg_ratio,revenue_growth,profit_margins,debt_to_equity,market_cap"
EVO.ST,FAIL,Consumer Cyclical,805.0,13.94795,11.434946,,51.8,26.7,22.4,2.13,-0.85,-1.2,0.92,5.05,153.7,0.718,revenue_growth=-0.012 < 0.0
GOOGL,PASS,Communication Services,340.67,17.301556,23.281328,0.93,54.8,48.7,28.6,18.859,-0.7,24.2,22.67,0.26,4217.1,1.237,
HD,FAIL,Consumer Cyclical,334.49,23.469229,20.924725,1.87,8.4,104.3,,376.524,2.39,5.7,11.19,2.78,,0.959,debt_to_equity=376.524 > 200.0
HEXA-B.ST,PASS,Technology,98.52,11.471936,18.78987,1.24,10.0,27.3,13.0,46.892,0.38,4.0,0.68,1.51,266.7,0.884,
HM-B.ST,FAIL,Consumer Cyclical,181.65,23.745125,20.632769,3.04,5.6,34.7,18.1,226.362,2.42,-3.3,22.31,3.89,291.5,1.009,peg_ratio=3.04 > 2.0; revenue_growth=-0.033 < 0.0; debt_to_equity=226.362 > 200.0
INDU-C.ST,FAIL,Financial Services,517.8,3.6283672,,5.47,99.3,32.3,41.4,2.799,0.04,1197.9,39.46,1.66,228.0,0.942,peg_ratio=5.47 > 2.0
INVE-B.ST,FAIL,Financial Services,410.05,4.821429,,5.08,80.1,27.3,,11.589,0.39,117.0,166.01,1.36,,0.781,peg_ratio=5.08 > 2.0
IS3N.DE,MISSING,,46.621,,,,,,,,,,,,,,"missing: trailing_pe,forward_pe,peg_ratio,revenue_growth,profit_margins,debt_to_equity,market_cap"
JNJ,FAIL,Healthcare,267.37,31.350348,21.957342,4.73,21.5,25.7,16.8,57.709,0.81,6.6,16.89,1.98,651.3,0.231,trailing_pe=31.350348 > 30.0; peg_ratio=4.73 > 2.0
KINV-B.ST,FAIL,Financial Services,57.58,,10.954372,4.76,0.0,-21.6,-22.1,6.937,,164.4,-5.29,,16.2,1.386,peg_ratio=4.76 > 2.0
KO,FAIL,Consumer Defensive,90.5,27.357357,25.833857,4.39,28.6,42.1,17.2,115.519,1.64,6.7,5.22,2.33,392.0,0.342,forward_pe=25.833857 > 25.0; peg_ratio=4.39 > 2.0
LATO-B.ST,MISSING,Industrials,192.95,18.866474,,,23.7,15.6,4.9,42.22,2.96,1.8,2.6,2.6,125.6,1.288,"missing: forward_pe,peg_ratio"
LUND-B.ST,MISSING,Industrials,555.5,10.224801,,1.16,35.1,9.1,14.4,14.27,1.44,10.4,7.67,0.87,139.9,0.951,missing: forward_pe
META,PASS,Communication Services,545.83,20.704067,15.845125,0.82,29.8,29.8,18.6,42.997,0.2,28.0,21.55,0.38,1400.9,1.243,
MSFT,PASS,Technology,481.15,26.951477,20.49948,1.57,40.3,34.0,20.7,29.118,0.27,17.7,16.55,0.75,3588.3,1.099,
NOVO-B.CO,FAIL,Healthcare,296.15,11.456588,13.792544,3.18,35.3,59.8,35.6,63.327,0.55,2.1,37.67,3.89,1330.4,0.349,peg_ratio=3.18 > 2.0
NVDA,FAIL,Technology,216.85,32.88208,16.482347,0.59,63.0,114.3,63.1,6.555,-0.24,85.2,46.34,0.47,5200.7,2.215,trailing_pe=32.88208 > 30.0
PEP,FAIL,Consumer Defensive,142.08,18.804718,15.980503,1.55,10.8,51.5,17.1,238.949,2.25,6.4,7.83,4.13,196.0,0.361,debt_to_equity=238.949 > 200.0
PG,FAIL,Consumer Defensive,142.97,21.82202,19.558777,4.15,18.4,30.3,17.2,64.49,1.01,1.5,13.28,3.01,336.3,0.377,peg_ratio=4.15 > 2.0
QQQ,FAIL,,710.93,30.506851,,,,,,,,,,,,,trailing_pe=30.506851 > 30.0
SAAB-B.ST,FAIL,Industrials,666.5,49.74943,65.84925,2.04,8.0,15.9,12.0,28.581,0.15,28.6,7.51,0.37,352.9,0.032,trailing_pe=49.74943 > 30.0; forward_pe=65.84925 > 25.0; peg_ratio=2.04 > 2.0
SAND.ST,FAIL,Industrials,368.7,28.41791,27.999998,2.45,13.1,17.9,14.1,42.909,1.35,23.7,14.51,1.58,477.7,1.32,forward_pe=27.999998 > 25.0; peg_ratio=2.45 > 2.0
SEB-A.ST,FAIL,Financial Services,218.7,13.983429,13.89487,2.28,41.8,14.1,2.3,,,2.3,,3.87,427.1,0.434,peg_ratio=2.28 > 2.0
SPY,MISSING,,762.6,25.794857,,,,,,,,,,,,,"missing: forward_pe,peg_ratio,revenue_growth,profit_margins,debt_to_equity,market_cap"
SWED-A.ST,FAIL,Financial Services,372.5,13.531329,14.6855345,7.29,45.1,15.0,2.1,,,5.8,,5.47,419.8,0.565,peg_ratio=7.29 > 2.0
TSM,FAIL,Technology,416.0,31.241611,19.234417,1.0,49.9,40.0,183.7,16.504,-0.77,36.0,730.83,1.04,2172.9,1.258,trailing_pe=31.241611 > 30.0
VOLV-B.ST,PASS,Industrials,340.0,19.455162,13.767068,1.43,7.6,20.9,9.7,147.349,3.8,2.7,24.02,2.48,697.1,0.983,
VWCE.DE,MISSING,,165.66,,,,,,,,,,,,,,"missing: trailing_pe,forward_pe,peg_ratio,revenue_growth,profit_margins,debt_to_equity,market_cap"
